"","area","year","id","text","average","country","score","date","host","min.number","min.before","min.after","min.closest","min.any","total","commitments","commitments2","binding.level","summit.ref","org.ref","mentions.date","mentions.multi.year","mentions.money","mentions.values","bodies","gdp","gdp.per.cap","gdp.growth","is.italy","is.uk","is.canada","is.eu","is.france","is.germany","is.japan","is.russia","is.climate","is.conflict","is.crime","is.development","is.democracy","is.education","is.energy","is.food","is.gender","is.ict","is.labor","is.macro","is.security","is.trade"
"1","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"canada","0","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,364.756,1.411480776,3.784695824,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"us","1","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,4338.98,3.498635687,3.250656415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"russia",NA,"1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"eu","1","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,2677.66,1.857807722,2.107235317,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"france","1","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,553.138,2.483296918,1.054121301,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"japan","0","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,1398.89,2.292024698,4.576744575,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"germany","1","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,732.535,2.5630333,2.556883607,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"italy","0","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,452.217,2.362674927,2.768381475,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Climate Change",1985,"Jan-85","New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,"uk","0","1985-05-02","Germany",0,0,0,NA,0,327,1,1,0,0,0,0,0,0,0,0,489.285,2.682196598,3.911319176,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"france","0","1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,934.173,2.576973094,1.9774927,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"us","0","1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,4855.22,3.677529726,2.538623532,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"canada","1","1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,431.317,1.630896697,2.710105016,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"germany","0","1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,1298.18,2.653122971,1.246499686,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"eu",NA,"1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,4631.25,1.942725472,2.218353654,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"russia",NA,"1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"japan","0","1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,2532.81,2.455271552,4.227041673,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"italy","0","1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,805.713,2.507426732,3.181430303,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Climate Change",1987,"1987-32","We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,"uk","1","1987-06-08","Italy",0,0,0,NA,0,327,0,0,0,0,0,0,0,0,0,0,745.163,2.90297048,5.168872171,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Climate Change",1989,"1989-21 (AL)","We strongly advocate common efforts to limit emissions of carbon dioxide and other greenhouse gases, which threaten to induce climate change, endangering the environment and ultimately the economy.",0.428571429,"russia",NA,"1989-07-14","France",0,0,0,NA,0,327,4,16,1,0,0,0,0,0,0,0,506.5,0.8105888408,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Climate Change",1989,"1989-3 (MB)","We call for the adoption of sustainable forest management practices, with a view to preserving the scale of world forests.",-0.285714286,"japan","1","1989-07-14","France",0,0,0,NA,0,327,4,16,0,0,0,0,0,0,0,0,3054.91,2.726894317,4.439692721,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Climate Change",1989,"1989-21 (AL)","We strongly advocate common efforts to limit emissions of carbon dioxide and other greenhouse gases, which threaten to induce climate change, endangering the environment and ultimately the economy.",0.428571429,"japan","1","1989-07-14","France",0,0,0,NA,0,327,4,16,1,0,0,0,0,0,0,0,3054.91,2.726894317,4.439692721,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Climate Change",1989,"1989-4 (MB)","We believe that the conclusion of a framework or umbrella convention on climate change to set out general principles or guidelines is urgently required to mobilize and rationalise the efforts made by the international community. Specific protocols containing concrete commitments could be fitted into the framework as scientific evidence requires and permits``",0,"russia",NA,"1989-07-14","France",0,0,0,NA,0,327,4,16,0,0,0,0,0,0,0,0,506.5,0.8105888408,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
