area,id,year,text,average,canada,france,germany,italy,japan,russia,uk,us,eu
Climate Change,Jan-85,1985,"New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,0,1,1,0,0,,0,1,1
Climate Change,1987-32,1987,"We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,1,0,0,0,0,,1,0,
Climate Change,1989-21 (AL),1989,"We strongly advocate common efforts to limit emissions of carbon dioxide and other greenhouse gases, which threaten to induce climate change, endangering the environment and ultimately the economy.",0.428571429,1,0,1,0,1,,1,-1,
Climate Change,1989-22 (MB),1989,We need to strengthen the world-wide network of observatories for greenhouse gases and support the World Meteorological Organization initiative to establish a global climatological reference network to detect climate changes.,-0.428571429,-1,-1,-1,-1,1,,1,-1,
Climate Change,1989-3 (MB),1989,"We call for the adoption of sustainable forest management practices, with a view to preserving the scale of world forests.",-0.285714286,-1,-1,0,1,1,,-1,-1,
Climate Change,1989-4 (MB),1989,We believe that the conclusion of a framework or umbrella convention on climate change to set out general principles or guidelines is urgently required to mobilize and rationalise the efforts made by the international community. Specific protocols containing concrete commitments could be fitted into the framework as scientific evidence requires and permits``,0,1,0,0,-1,0,,1,-1,
Climate Change,1990-26 (AL),1990,"We are committed to undertake common efforts to limit greenhouse gases, such as carbon dioxide.",0.428571429,1,1,1,1,0,,0,-1,
Climate Change,1990-27-28(MB),1990,"We reiterate our support for the negotiation of a framework convention on climate change, under the auspices of the UNEP and WMO. The convention should be completed by 1992",0.428571429,1,1,1,-1,1,,1,-1,
Climate Change,1990-29 (MB),1990,Work on implementing protocols should be undertaken as expediously as possible and should consider all sources and sinks.,-0.285714286,-1,-1,1,-1,0,,1,-1,
Climate Change,1990-36 (MB),1990,We are ready to cooperate with the Government of Brazil on a comprehensive pilot programme to counteract the threat to tropical rain forests in that country,-1,-1,-1,-1,-1,-1,,-1,-1,
Climate Change,Jan-91,1991,,0.142857143,1,0,1,0,0,,0,-1,
Climate Change,Apr-91,1991,,0.666666667,1,1,1,1,,,1,-1,
Climate Change,1992-5 (AL),1992,Ratify UNFCCC (United Nations Framework Convention on Climate Change) by 1993 ,0.714285714,1,0,1,0,1,,1,1,
Climate Change,Feb-92,1992,,0.714285714,1,1,1,1,1,,1,-1,
Climate Change,1992-6 (?) (AL),1992,We are committed to continued scientific efforts in the area of climate change,0.714285714,1,1,1,0,1,,0,1,
Climate Change,1993-6 (AL),1993,Publish a national action plan by the end of 1993,0.142857143,1,-1,-1,0,1,,0,1,
Climate Change,Mar-93,1993,,1,1,1,1,1,1,,1,1,
Climate Change,Jan-94,1994,Implementing national action plans.,0.571428571,1,0,1,0,0,,1,1,
Climate Change,Mar-94,1994,,0.857142857,1,1,1,0,1,,1,1,
Climate Change,1995-23 (AL),1995,Setting more ambitious timetables and objectives to follow-up on the Berlin Conference of the Parties,0.285714286,1,0,-1,0,0,,1,1,
Climate Change,1996-87,1996,a successful outcome of the Conference of the Parties to the Climate Change Convention; ,0.571428571,0,0,1,0,1,,1,1,
Climate Change,Aug-97,1997,"""At the Third Conference of the Parties to the UN Framework Convention on Climate Change in Kyoto, we must forge a strong agreement that is consistent with the Berlin Mandate and contains quantified and legally-binding emission targets that will result in reductions of greenhouse gas emissions by 2010"". ",0.5,0,1,1,-1,1,1,1,0,
Climate Change,Sep-97,1997,"""We intend to commit to meaningful, realistic and equitable targets that will result in reductions of greenhouse gas emissions by 2010.""",0.111111111,-1,1,1,0,0,-1,1,-1,1
Climate Change, 1997-10,1997,"“Developing countries must also take measurable steps, recognizing that their obligations will increase as their economies grow. We agree to work in partnership with them to that effect by implementing technological development and diffusion and supporting environmental education and capacity building.” ",0.444444444,1,-1,0,1,1,0,0,1,1
Climate Change, 1997-11,1997,“We agree to work together to enhance international efforts to further develop global systems for monitoring climate change and other environmental trends.” ,0.222222222,1,0,0,0,0,0,-1,1,1
Climate Change,1998-32,1998,"""The adoption at Kyoto of a Protocol with legally binding targets was a historic turning point in our efforts to reduce greenhouse gas emissions. We welcome the recent signature of the Protocol by some of us and confirm the intention of the rest of us to sign it within the next year, and resolve to make an urgent start on the further work that is necessary to ratify and make Kyoto a reality. To this end:""",1,,,,,,1,,1,
Climate Change,1998-34,1998,"""To this end: as the Kyoto protocol says, to supplement domestic actions, we will work further on flexible mechanisms such as international market-based emissions trading, joint implementation and the clean development mechanism, and on sinks.",1,1,1,1,1,1,1,1,1,
Climate Change,1998-35,1998,"""We aim to draw up rules and principles that will ensure an enforceable, accountable, verifiable, open and transparent trading system and an effective compliance regime;""",1,1,1,1,1,1,1,1,1,
Climate Change,1999-32,1999,We will work towards timely progress in implementing the Buenos Aires Plan of Action with a view to early entry into force of the Kyoto Protocol,-0.222222222,0,0,0,-1,1,-1,-1,1,-1
Climate Change,2000-86,2000,"“ We are determined to achieve a successful outcome at the Sixth Conference of the Parties to the FCCC (COP6), in order to achieve the goals of the Kyoto Protocol though undertaking strong domestic actions and supplemental flexibility mechanisms.” ",0.444444444,0,0,1,1,1,0,0,0,1
Climate Change,2001-xx,2001,Will give money to the Global Environment Facility (GEF) so that it may continue to support environmental protection on a global scale and foster good practices to promote efficient energy use and the development of renewable energy sources in the development world,-0.125,0,0,0,0,0,-1,0,0,
Climate Change,2001-xx,2001,Will work with civil society and developing countries to make the World Summit on Sustainable Development in Johannesburg a success,0,0,0,0,0,0,0,0,0,
Climate Change,2001-xx,2001,Promote early entry into force of the Stockholm Convention on Persistent Organic Pollutants,0.125,1,0,1,0,-1,0,0,0,
Climate Change,2001-44,2001,"""To that end, we are participating constructively in the resumed Sixth
Conference of the Parties in Bonn (COP6) and will continue to do so in all relevant fora.""",0,0,0,0,0,0,0,0,0,
Climate Change,02-Aug,2002,We agreed on the importance of reaffirming the Doha Agenda and the Monterrey Consensus and to work at the upcoming Johannesburg Summit to produce meaningful partnerships for sustainable development and measurable results. ,0.888888889,1,1,1,1,1,1,1,0,1
Climate Change,2003-75,2003,"“We commit to participating in the International Conference on Renewable Energies, spring 2004 in Bonn”.",0.75,0,1,1,1,1,1,0,1,
Climate Change,2003-92,2003,"We will discuss various aspects of the global climate change problem at the World Conference on Climate Control (Moscow, September 2003). ",1,1,1,1,1,1,1,1,1,1
Climate Change,2004(s)-3,2004,“Held First and Second Earth Observation Summits (EOS) and adopted a Framework document on a Global Earth Observation System of Systems (GEOSS). Planning to adopt a final 10-year strategic implementation plan on GEOSS at Third EOS in 2005 and working to identify the international mechanism to provide coordination and oversight for GEOSS.”,1,1,1,1,1,1,1,1,1,1
Climate Change,2004-S2,2004,"We recognize the need for balanced energy policies, which increase energy supplies and encourage more efficient energy use and conservation, including through new technologies",0.777777778,1,1,1,0,1,0,1,1,1
Climate Change,2004-246,2004,"[Last year at Evian we agreed, ""to support the development of cleaner sustainable and more efficient technologies."" We reaffirm our conviction that cooperative scientific research on transformation technologies offers potential to improve public health by cutting pollution and reduce greenhouse gas emission to address the challenge of global climate change.",0.33,1,1,0,0,-1,-1,1,1,1
Climate Change,2005-18,2005,We reaffirm our commitment to the UNFCCC and to its ultimate objective to stabilise greenhouse gas concentrations in the atmosphere at a level that prevents dangerous anthropogenic interference with the climate system. ,0.444444444,0,1,1,-1,0,1,1,0,1
Climate Change,05-Jan,2005,"""We resolved to take action to meet the challenges we face. The Gleneagles Plan of Action which we have agreed demonstrates our commitment. We will take measures to develop markets for clean energy technologies, to increase their availability in developing countries, and to help vulnerable communities adapt to the impact of climate change.”",1,1,1,1,1,1,1,1,1,1
Climate Change,05-Feb,2005,"“We will advance the global effort to tackle climate change at the UN Climate Change Conference in Montreal later this year. Those of us who have ratified the Kyoto Protocol remain committed to it, and will continue to work to make it a success”",0.888888889,1,1,1,0,1,1,1,1,1
Climate Change,2005- 158,2005,"""We will encourage the development of cleaner, more efficient and lower-emitting vehicles, and promote their deployment, by: Adopting ambitious policies to encourage sales of such vehicles in our countries, including making use of public procurement as appropriate to accelerate market development;”",0.666666667,1,1,1,1,0,-1,1,1,1
Climate Change,2005-15,2005,"We also committed to address products of interest to Least Developed Countries in the negotiations, and to ensure Least Developed Countries have the flexibility to decide their own economic strategies. ",1,1,1,1,1,1,1,1,1,1
Climate Change,2006-62,2006,"environmentally sound development and use of energy, and deployment and transfer of clean energy technologies which help to tackle climate change;",0.222222222,0,0,0,0,0,0,1,0,1
Climate Change,2006-99,2006,"""A comprehensive approach within the international community to energy saving, energy efficiency and the extension of relevant efforts, including sharing best practices, to the entire energy value chain are important in this respect. For this purpose, we shall undertake to: consider national goals for reducing energy intensity of economic development to be reported by the end of the year""",0.333333333,0,0,0,0,0,1,1,0,1
Climate Change,2006-110 (SS),2006,raising the environmental and efficiency levels for processing hydrocarbons;,-0.111111111,1,1,0,-1,1,0,-1,-1,-1
Climate Change,2006-116,2006,"""For making transportation more energy efficient and environmentally advanced we shall: develop programs in our respective countries, consistent with national circumstances, to provide incentives for consumers to adopt efficient vehicles, including clean diesels and hybrids; and introduce on a large scale efficient public hybrid and/or clean diesel transportation systems, where appropriate""",0.444444444,1,0,1,0,0,0,0,1,1
Climate Change,2006-123,2006,"We will work to develop low-carbon and alternative energy, to make wider use of renewables and to develop and introduce innovative technologies throughout the entire energy sector. ",0.333333333,0,-1,1,0,1,0,0,1,1
Climate Change,2006-138,2006,Therefore we will work with the private sector to accelerate utilization of innovative technologies that advance more efficient hydrocarbon production and reduce the environmental impact of its production and use. ,0.222222222,-1,0,0,0,1,-1,1,1,1
Climate Change,2006-156,2006,"""We will facilitate development of local energy resources, including those based on core generation technologies and on renewable energy, such as hydropower, wind power, geothermal power, biomass, and the effective use of solar energy, to contribute to poverty reduction and long-term energy sustainability in developing countries.""",0.888888889,1,0,1,1,1,1,1,1,1
Climate Change,2006-162,2006,"""We reaffirm our intention to deliver on commitments made in Gleneagles in order to meet our shared and multiple objectives of reducing greenhouse gas emissions, improving the global environment, enhancing energy security and cutting air pollution in conjunction with our vigorous efforts to reduce poverty.""",0.777777778,0,1,1,1,1,0,1,1,1
Climate Change,2006-165,2006,"With respect to climate change, we reaffirm our shared commitment under the UNFCCC and its related mechanisms. ",0,-1,0,0,0,0,0,1,-1,1
Climate Change,2007-28,2007,"To this end, we are committed to the further development of the international regime to combat climate change, especially in the run up to the UN Climate Change Conference in Indonesia at the end of this year. ",0.222222222,0,0,0,-1,1,-1,1,1,1
Climate Change,2007-35,2007,"""[We acknowledge that the UN climate process is the appropriate forum for negotiating future global action on climate change.] We are committed to moving forward in that forum and call on all parties to actively and constructively participate in the UN Climate Change Conference in Indonesia in December 2007 with a view to achieving a comprehensive post 2012-agreement (post Kyoto-agreement) that should include all major emitters.""",1,1,1,1,1,1,1,1,1,1
Climate Change,2007-36,2007,"""We have urgently to develop, deploy and foster the use of sustainable, less carbon intensive, clean energy and climate-friendly technologies in all areas of energy production and use.""",0.444444444,1,0,0,0,1,0,1,1,0
Climate Change,2007-44,2007,"We are determined to assist in reducing emissions from deforestation, especially in developing countries.",0.555555556,0,0,1,0,1,0,1,1,1
Climate Change,2008-27 (CB),2008,"In this regard, we will work together with other relevant stakeholders to develop science-based benchmarks and indicators for biofuel production and use",0.888888889,1,1,1,1,1,0,1,1,1
Climate Change,2008-55,2008,"""In this respect, we acknowledge our leadership role and each of us will implement ambitious economy-wide mid-term goals in order to achieve absolute emissions reductions and, where applicable, first stop the growth of emissions as soon as possible, reflecting comparable efforts among all developed economies, taking into account differences in their national circumstances.""",0.777777778,1,1,1,1,1,1,1,-1,1
Climate Change,2008-72,2008,"""We strongly support the launching of 20 large-scale CCS demonstration projects globally by 2010, taking into account various national circumstances, with a view to beginning broad deployment of CCS by 2020.""",0.333333333,1,-1,1,-1,1,-1,1,1,1
Climate Change,2008-251,2008,"Conscious of our leadership role in meeting such challenges, we, the leaders of the world's major economies, both developed and developing, commit to combat climate change in accordance with our common but differentiated responsibilities and respective capabilities and confront the interlinked challenges of sustainable development, including energy and food security, and human health",0.111111111,0,1,1,-1,-1,0,1,-1,1
Climate Change,2008-265,2008,"""We will work together in accordance with our Convention commitments to strengthen the ability of developing countries, particularly the most vulnerable ones, to adapt to climate change. This includes the development and dissemination of tools and methodologies to improve vulnerability and adaptation assessments, the integration of climate change adaptation into overall development strategies, increased implementation of adaptation strategies, increased emphasis on adaptation technologies, strengthening resilience and reducing vulnerability, and consideration of means to stimulate investment and increased availability of financial and technical assistance.""",0.555555556,1,1,1,-1,1,0,1,1,0
