Compliance Score,Summit,Commitment Text,Average,Issue-Area,Country,Year,Mentions Specific Date,Total Number of Commitments,Number of Same-Issue Commitments,Mentions UN,Mentions Developing Countries,Binding Level,GDP,GDP per Capita,GDP per Capita Growth,Host Country,Number of Ministerials,Closest Ministerial,Government Type
0,Jan-85,"New approaches and strengthened international cooperation are essential to anticipate and prevent damage to the environment, which knows no national frontiers. We shall also address other concerns such as climatic change, the protection of the ozone layer and the management of toxic chemicals and hazardous wastes. The protection of soils, fresh water and the sea, in particular of regional seas, must be strengthened.",0.5,Climate Change,Canada,1985,No,25,1,No,No,Higher,3.65E+11,14114.80776,3.784695888,Germany,0,365,Federal
1,1987-32,"We underline our own responsibility to encourage efforts to tackle effectively environmental problems of worldwide impact such as stratospheric ozone depletion, climate change, acid rains, endangered species, hazardous substances, air and water pollution, and destruction of tropical forests. ",0.285714286,Climate Change,Canada,1987,No,52,0,No,No,Lower,4.31E+11,16308.96697,2.710104994,Italy,0,365,Federal
1,1989-21 (AL),"We strongly advocate common efforts to limit emissions of carbon dioxide and other greenhouse gases, which threaten to induce climate change, endangering the environment and ultimately the economy.",0.428571429,Climate Change,Canada,1989,No,61,4,No,No,Higher,5.65E+11,20715.63148,0.497585232,France,0,365,Federal
-1,1989-22 (MB),We need to strengthen the world-wide network of observatories for greenhouse gases and support the World Meteorological Organization initiative to establish a global climatological reference network to detect climate changes.,-0.428571429,Climate Change,Canada,1989,No,61,4,No,No,Lower,5.65E+11,20715.63148,0.497585232,France,0,365,Federal
-1,1989-3 (MB),"We call for the adoption of sustainable forest management practices, with a view to preserving the scale of world forests.",-0.285714286,Climate Change,Canada,1989,No,61,4,No,No,Lower,5.65E+11,20715.63148,0.497585232,France,0,365,Federal
1,1989-4 (MB),We believe that the conclusion of a framework or umbrella convention on climate change to set out general principles or guidelines is urgently required to mobilize and rationalise the efforts made by the international community. Specific protocols containing concrete commitments could be fitted into the framework as scientific evidence requires and permits``,0,Climate Change,Canada,1989,No,61,4,No,No,Higher,5.65E+11,20715.63148,0.497585232,France,0,365,Federal
1,1990-26 (AL),"We are committed to undertake common efforts to limit greenhouse gases, such as carbon dioxide.",0.428571429,Climate Change,Canada,1990,No,78,9,No,No,Higher,5.94E+11,21448.36196,-1.334143917,United States,0,365,Federal
1,1990-27-28(MB),"We reiterate our support for the negotiation of a framework convention on climate change, under the auspices of the UNEP and WMO. The convention should be completed by 1992",0.428571429,Climate Change,Canada,1990,Yes,78,9,Yes,No,Higher,5.94E+11,21448.36196,-1.334143917,United States,0,365,Federal
-1,1990-29 (MB),Work on implementing protocols should be undertaken as expediously as possible and should consider all sources and sinks.,-0.285714286,Climate Change,Canada,1990,No,78,9,No,No,Higher,5.94E+11,21448.36196,-1.334143917,United States,0,365,Federal
-1,1990-36 (MB),We are ready to cooperate with the Government of Brazil on a comprehensive pilot programme to counteract the threat to tropical rain forests in that country,-1,Climate Change,Canada,1990,No,78,9,No,Yes,Lower,5.94E+11,21448.36196,-1.334143917,United States,0,365,Federal
1,1992-5 (AL),Ratify UNFCCC (United Nations Framework Convention on Climate Change) by 1993 ,0.714285714,Climate Change,Canada,1992,Yes,41,2,Yes,No,Higher,5.92E+11,20879.84833,-0.287031425,Germany,2,-33,Federal
1,1992-6 (?) (AL),We are committed to continued scientific efforts in the area of climate change,0.714285714,Climate Change,Canada,1992,No,41,2,No,No,Higher,5.92E+11,20879.84833,-0.287031425,Germany,2,-33,Federal
1,1993-6 (AL),Publish a national action plan by the end of 1993,0.142857143,Climate Change,Canada,1993,Yes,29,0,No,No,Higher,5.77E+11,20121.16125,1.538860993,Japan,0,365,Federal
1,Jan-94,Implementing national action plans.,0.571428571,Climate Change,Canada,1994,No,53,2,No,No,Higher,5.78E+11,19935.38146,3.356226813,Italy,1,-118,Federal
