Compliance Score,Issue-Area,Country,Year,Mentions Specific Date,Total Number of Commitments,Number of Same-Issue Commitments,Mentions UN,Mentions Developing Countries,Binding Level,GDP,GDP per Capita,GDP per Capita Growth,Host Country,Number of Ministerials,Closest Ministerial,Government Type
0.0,Climate Change,Canada,1985.0,No,25.0,1.0,No,No,Higher,365000000000.0,14114.80776,3.7846958880000003,Germany,0.0,365.0,Federal
1.0,Climate Change,Canada,1987.0,No,52.0,0.0,No,No,Lower,431000000000.0,16308.96697,2.710104994,Italy,0.0,365.0,Federal
1.0,Climate Change,Canada,1989.0,No,61.0,4.0,No,No,Higher,565000000000.0,20715.63148,0.49758523200000004,France,0.0,365.0,Federal
-1.0,Climate Change,Canada,1989.0,No,61.0,4.0,No,No,Lower,565000000000.0,20715.63148,0.49758523200000004,France,0.0,365.0,Federal
-1.0,Climate Change,Canada,1989.0,No,61.0,4.0,No,No,Lower,565000000000.0,20715.63148,0.49758523200000004,France,0.0,365.0,Federal
1.0,Climate Change,Canada,1989.0,No,61.0,4.0,No,No,Higher,565000000000.0,20715.63148,0.49758523200000004,France,0.0,365.0,Federal
1.0,Climate Change,Canada,1990.0,No,78.0,9.0,No,No,Higher,594000000000.0,21448.36196,-1.334143917,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,1990.0,Yes,78.0,9.0,Yes,No,Higher,594000000000.0,21448.36196,-1.334143917,United States,0.0,365.0,Federal
-1.0,Climate Change,Canada,1990.0,No,78.0,9.0,No,No,Higher,594000000000.0,21448.36196,-1.334143917,United States,0.0,365.0,Federal
-1.0,Climate Change,Canada,1990.0,No,78.0,9.0,No,Yes,Lower,594000000000.0,21448.36196,-1.334143917,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,1992.0,Yes,41.0,2.0,Yes,No,Higher,592000000000.0,20879.84833,-0.287031425,Germany,2.0,-33.0,Federal
1.0,Climate Change,Canada,1992.0,No,41.0,2.0,No,No,Higher,592000000000.0,20879.84833,-0.287031425,Germany,2.0,-33.0,Federal
1.0,Climate Change,Canada,1993.0,Yes,29.0,0.0,No,No,Higher,577000000000.0,20121.16125,1.5388609930000001,Japan,0.0,365.0,Federal
1.0,Climate Change,Canada,1994.0,No,53.0,2.0,No,No,Higher,578000000000.0,19935.38146,3.356226813,Italy,1.0,-118.0,Federal
1.0,Climate Change,Canada,1995.0,No,77.0,1.0,No,No,Higher,604000000000.0,20613.78788,1.636809393,Canada,1.0,-47.0,Federal
0.0,Climate Change,Canada,1996.0,Yes,128.0,2.0,No,No,Higher,629000000000.0,21227.347530000003,0.5624678329999999,France,1.0,-49.0,Federal
0.0,Climate Change,Canada,1997.0,Yes,145.0,4.0,Yes,No,Higher,653000000000.0,21829.23344,3.2488493569999997,United States,0.0,365.0,Federal
-1.0,Climate Change,Canada,1997.0,Yes,145.0,4.0,No,No,Higher,653000000000.0,21829.23344,3.2488493569999997,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,1997.0,No,145.0,4.0,No,Yes,Higher,653000000000.0,21829.23344,3.2488493569999997,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,1997.0,No,145.0,4.0,No,No,Higher,653000000000.0,21829.23344,3.2488493569999997,United States,0.0,365.0,Federal
1.0,Climate Change,Canada,1998.0,No,73.0,7.0,No,No,Higher,632000000000.0,20952.06946,1.946954614,United Kingdom,1.0,-42.0,Federal
1.0,Climate Change,Canada,1998.0,No,73.0,7.0,No,No,Higher,632000000000.0,20952.06946,1.946954614,United Kingdom,1.0,-42.0,Federal
0.0,Climate Change,Canada,1999.0,No,46.0,2.0,No,No,Higher,676000000000.0,22238.66454,3.1287916989999998,Germany,1.0,-84.0,Federal
0.0,Climate Change,Canada,2000.0,No,105.0,1.0,No,No,Higher,742000000000.0,24190.24962,3.945218535,Japan,1.0,-106.0,Federal
0.0,Climate Change,Canada,2001.0,No,58.0,5.0,No,No,Higher,736000000000.0,23738.18072,0.309869789,Italy,1.0,-141.0,Federal
0.0,Climate Change,Canada,2001.0,No,58.0,5.0,No,Yes,Higher,736000000000.0,23738.18072,0.309869789,Italy,1.0,-141.0,Federal
1.0,Climate Change,Canada,2001.0,No,58.0,5.0,No,No,Lower,736000000000.0,23738.18072,0.309869789,Italy,1.0,-141.0,Federal
0.0,Climate Change,Canada,2001.0,No,58.0,5.0,No,No,Higher,736000000000.0,23738.18072,0.309869789,Italy,1.0,-141.0,Federal
1.0,Climate Change,Canada,2002.0,No,187.0,4.0,No,No,Higher,758000000000.0,24169.28473,2.303577116,Canada,1.0,-75.0,Federal
0.0,Climate Change,Canada,2003.0,Yes,205.0,1.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,1.0,-37.0,Federal
1.0,Climate Change,Canada,2003.0,Yes,205.0,1.0,No,No,Higher,892000000000.0,28200.65808,2.879569876,France,1.0,-37.0,Federal
